District,Total Cases,Recoveries,Death,Active
Ahmednagar,580,375,15,208
Akola,1662,1199,86,376
Amravati,690,451,30,209
Aurangabad,6568,2788,294,3486
Beed,142,95,3,44
Bhandara,91,77,0,14
Buldhana,318,169,13,136
Chandrapur,110,63,0,47
Dhule,1248,701,62,480
Gadchiroli,73,60,1,12
Gondia,167,104,2,61
Hingoli,294,250,1,43
Jalgaon,4236,2420,278,1538
Jalna,719,380,24,315
Kolhapur,920,732,12,176
Latur,425,229,22,174
Mumbai City,84524,55884,4899,23732
Mumbai suburban,0,0,0,0
Nagpur,197,83,9,105
Nanded,1719,1296,15,408
Nandurbar,394,242,14,138
Nashik,5216,2935,225,2056
Osmanabad,264,186,12,66
Palghar,7470,2950,126,4379
Parbhani,128,83,4,41
Pune,28142,13406,872,13864
Raigad,5840,2741,106,2991
Ratnagiri,712,471,27,214
Sangli,430,251,11,168
Satara,1337,769,48,519
Sindhudurg,246,172,5,69
Solapur,3214,1692,296,1225
Thane,47935,18156,1270,28508
Wardha,17,13,1,3
Washim,120,82,3,35
Yavatmal,338,235,11,92
Unknown,133,0,25,108
