District,Total Cases,Recoveries,Death,Active
Ahmednagar,586,390,16,180
Akola,1703,1224,89,390
Amravati,708,481,31,196
Aurangabad,6812,3006,301,3505
Beed,149,95,3,51
Bhandara,94,78,0,16
Buldhana,318,182,13,123
Chandrapur,120,69,0,51
Dhule,1274,724,67,483
Gadchiroli,91,60,1,30
Gondia,169,105,2,62
Hingoli,297,254,1,42
Jalgaon,4473,2506,294,1673
Jalna,758,397,29,332
Kolhapur,949,733,13,203
Latur,446,232,24,190
Mumbai City,85724,57152,4938,23634
Mumbai suburban,0,0,0,0
Nagpur,208,139,9,60
Nanded,1753,1310,16,427
Nandurbar,409,242,15,152
Nashik,5478,3159,242,2077
Osmanabad,285,193,13,79
Palghar,7823,3117,140,4566
Parbhani,136,83,4,49
Pune,28966,13971,889,14106
Raigad,6106,2894,110,3102
Ratnagiri,726,483,28,215
Sangli,462,254,11,197
Satara,1374,793,52,529
Sindhudurg,247,179,5,63
Solapur,3241,1741,303,1197
Thane,49485,18672,1327,29486
Wardha,17,13,1,3
Washim,120,93,3,24
Yavatmal,341,238,11,92
Unknown,139,0,25,114
