States,Total_count,Active,Recovered,Deaths,Date
,,,,,
Maharashtra,200098,77143,96891,7745,02-Jul-20
Gujarat,29765,6828,24111,1856,02-Jul-20
Maharashtra,204312,80100,100098,7913,03-Jul-20
Gujarat,31098,7210,24641,1877,03-Jul-20
Maharashtra,208198,83091,105100,8221,04-Jul-20
Gujarat,33109,7509,25001,1893,04-Jul-20
Maharashtra,210331,85121,109897,8412,05-Jul-20
Gujarat,34987,7917,25456,1914,05-Jul-20
Maharashtra,214112,87001,114998,8691,06-Jul-20
Gujarat,35187,8221,25817,1936,06-Jul-20
Maharashtra,217309,88172,119876,8991,07-Jul-20
Gujarat,36233,8613,26398,1952,07-Jul-20
Maharashtra,219324,90084,123192,9280,08-Jul-20
Gujarat,37363,9051,26814,1972,08-Jul-20
Assam,13336,4591,8729,16,09-Jul-20
Bihar,13189,3528,9554,107,09-Jul-20
Chhattisgarh,3525,676,2835,14,09-Jul-20
Goa,2039,824,1207,8,09-Jul-20
Gujarat,38333,9051,27289,1993,09-Jul-20
Maharashtra,223724,91084,123192,9448,09-Jul-20
Assam,14032,5281,8729,22,10-Jul-20
Bihar,13944,4013,9816,115,10-Jul-20
Chhattisgarh,3675,757,2903,15,10-Jul-20
Goa,2151,869,1273,9,10-Jul-20
Gujarat,39194,9468,27718,2008,10-Jul-20
Maharashtra,230599,93653,127279,9667,10-Jul-20
Gujarat,40069,9900,28147,2022,11-Jul-20
Maharashtra,238461,95943,132625,9893,11-Jul-20
Assam,15536,6351,9150,35,12-Jul-20
Bihar,15373,4557,10685,131,12-Jul-20
Chhattisgarh,3897,810,3070,17,12-Jul-20
Goa,2368,928,1428,12,12-Jul-20
Gujarat,40941,10260,28649,2032,12-Jul-20
Maharashtra,246600,99499,136985,10116,12-Jul-20
Assam,16071,5610,10426,35,13-Jul-20
Bihar,16642,5001,11498,143,13-Jul-20
Chhattisgarh,4059,887,3153,19,13-Jul-20
Goa,2453,952,1487,14,13-Jul-20
Gujarat,41820,10613,29162,2045,13-Jul-20
Maharashtra,254427,103813,140325,10289,13-Jul-20
